route_id,route_code,route_description,route_distance_meters
12503-20180921103729_v70.37,125X,Helensville To City Centre Via Westgate Express,58962
12504-20180921103729_v70.37,125X,City Centre To Helensville Via Westgate Express,57533
39609-20180921103729_v70.37,396,Pukekohe Interchange To Waiuku Loop Via Patumahoe,49876
30017-20180921103729_v70.37,SKY,Airport To Airport Via Dominion Rd,48240
30015-20180921103729_v70.37,SKY,Airport To Downtown Via Mt Eden Rd Then To Airport Via Domin,47715
30021-20180921103729_v70.37,SKY,Airport To Albany,47686
30019-20180921103729_v70.37,SKY,Airport To Downtown Via Dominion Rd Then To Airport Via Mt E,47296
30014-20180921103729_v70.37,SKY,Albany To Airport,47258
30013-20180921103729_v70.37,SKY,Airport To Airport Via Mt Eden Rd,46770
04756-20180921103729_v70.37,047,Carmel College And Westlake Girls To Gulf Harbour,45340
39904-20180921103729_v70.37,399,Pukekohe To Port Waikato Via Tuakau,44215
39903-20180921103729_v70.37,399,Port Waikato To Pukekohe Interchange Via Tuakau,44154
04755-20180921103729_v70.37,047,Gulf Harbour To Westlake Girls And Carmel College,42720
04553-20180921103729_v70.37,045,Orewa To Westlake Schools,39898
17118-20180921103729_v70.37,171X,City Centre To New Lynn Via Laingholm,39235
12501-20180921103729_v70.37,125,Helensville To Westgate,38485
12502-20180921103729_v70.37,125,Westgate To Helensville,38368
04958-20180921103729_v70.37,049,Westlake Boys To Manly,37951
99701-20180921103729_v70.37,997,Warkworth To Omaha Via Matakana And Port Wells,37602
39501-20180921103729_v70.37,395,Waiuku To Papakura Interchange,35700
02655-20180921103729_v70.37,026,Gulf Harbour To Northcross Intermediate,34778
39502-20180921103729_v70.37,395,Papakura Interchange To Waiuku,34479
11008-20180921103729_v70.37,N11,City To Papakura Via Great South Rd,34477
11018-20180921103729_v70.37,N11,City To Papakura Via Great South Rd (S),34477
02660-20180921103729_v70.37,026,Northcross Intermediate To Gulf Harbour,33984
04657-20180921103729_v70.37,046,Orewa To Rosmini College And Westlake Boys,33760
12014-20180921103729_v70.37,120,Akoranga to Henderson,32827
12013-20180921103729_v70.37,120,Henderson to Akoranga,32740
27010-20180921103729_v70.37,NX1,Britomart (Lower Albert St) To Hibiscus Coast Stn,32119
27004-20180921103729_v70.37,NX1,Britomart (Lower Albert St) To Hibiscus Coast Station,31847
02861-20180921103729_v70.37,028,Whenuapai to North Shore Schools,31405
820001-20180921103729_v70.37,STH,Papakura Train Station to Britomart Train Station,31194
820007-20180921103729_v70.37,STH,Papakura Train Station to Britomart Train Station,31193
820003-20180921103729_v70.37,STH,Papakura Train Station to Britomart Train Station,31190
820005-20180921103729_v70.37,STH,Papakura Train Station to Britomart Train Station,31189
820009-20180921103729_v70.37,STH,Papakura Train Station to Britomart Train Station,31189
820011-20180921103729_v70.37,STH,Papakura Train Station to Britomart Train Station,31188
820006-20180921103729_v70.37,STH,Britomart Train Station to Papakura Train Station,31169
820004-20180921103729_v70.37,STH,Britomart Train Station to Papakura Train Station,31167
820002-20180921103729_v70.37,STH,Britomart Train Station to Papakura Train Station,31167
820018-20180921103729_v70.37,STH,Britomart Train Station to Papakura Train Station,31165
07205-20180921103729_v70.37,72X,Botany And Howick To Britomart Express Via Panmure And Motor,31130
27007-20180921103729_v70.37,NX1,Hibiscus Coast Station To Britomart (Lower Albert) AM Peak,30845
27003-20180921103729_v70.37,NX1,Hibiscus Coast Station To Britomart (Lower Albert St),30845
02862-20180921103729_v70.37,028,North Shore Schools to Whenuapai NN,30612
73902-20180921103729_v70.37,739,Botany To Beachlands And Maraetai Via Ormiston And Whitford,30382
01068-20180921103729_v70.37,010,Kingsway School To Greenhithe,30238
73901-20180921103729_v70.37,739,Maraetai And Beachlands To BotanyýVia Whitford And Ormiston,30202
07010-20180921103729_v70.37,70H,Britomart To Howick And Botany Via Ellerslie And Panmure,30092
07206-20180921103729_v70.37,72X,Britomart To Howick And Botany Express Via Motorway And Panm,29787
93011-20180921103729_v70.37,GULF,Gulf Harbour To Auckland,29721
93012-20180921103729_v70.37,GULF,Auckland To Gulf Harbour,29721
17107-20180921103729_v70.37,171X,Laingholm To City Centre Express,29706
04560-20180921103729_v70.37,045,Westlake Schools To Silverdale,29593
04668-20180921103729_v70.37,046,St Josephs To Orewa Express,29507
99502-20180921103729_v70.37,995,Hibiscus Coast Station To Warkworth,29488
01063-20180921103729_v70.37,010,Greenhithe To Kingsway School,29400
99501-20180921103729_v70.37,995,Warkworth To Hibiscus Coast Station,29205
02961-20180921103729_v70.37,029,Massey and West Harbour to North Shore Schools,28760
38014-20180921103729_v70.37,380,Onehunga To Manukau Bus Station Via Airport,28303
06456-20180921103729_v70.37,064,Albany Station To Epsom And Remuera Schools,28250
38013-20180921103729_v70.37,380,Manukau Bus Station To Onehunga Via Airport,28054
810005-20180921103729_v70.37,WEST,Swanson Train Station to Britomart Train Station,27729
810006-20180921103729_v70.37,WEST,Britomart Train Station to Swanson Train Station,27683
810007-20180921103729_v70.37,WEST,Swanson Train Station to Britomart Train Station,27673
810001-20180921103729_v70.37,WEST,Swanson Train Station to Britomart Train Station,27673
810003-20180921103729_v70.37,WEST,Swanson Train Station to Britomart Train Station,27673
810004-20180921103729_v70.37,WEST,Britomart Train Station to Swanson Train Station,27659
810002-20180921103729_v70.37,WEST,Britomart Train Station to Swanson Train Station,27657
810008-20180921103729_v70.37,WEST,Britomart Train Station to Swanson Train Station,27657
04666-20180921103729_v70.37,046,St Josephs School To Orewa,27550
39608-20180921103729_v70.37,396,Pukekohe Interchange To Waiuku Via Patumahoe And Victoria Av,27333
17116-20180921103729_v70.37,171,New Lynn To Laingholm Loop,27295
10018-20180921103729_v70.37,N10,"City To Otara Via Manukau Rd, Onehunga, Mangere, Papatoetoe",27267
10028-20180921103729_v70.37,N10,"City To Otara Via Manukau Rd, Onehunga, Mangere, Papatoe (S)",27267
39607-20180921103729_v70.37,396,Waiuku To Pukekohe Interchange Via Kitchener Rd And Patumaho,27125
06452-20180921103729_v70.37,064,Epsom And Remuera Schools To Albany Station,27062
00302-20180921103729_v70.37,3,Matiatia Wharf To Rocky Bay Via Ostend & Onetangi,26981
00310-20180921103729_v70.37,3,Matiatia Wharf To Rocky Bay Via Ostend & Onetangi (S),26981
12004-20180921103729_v70.37,120,Constellation Station to Henderson via Westgate,26757
